Date,Title,Contents,URL
2020/04/19,Karma Revero GTE: All-Electric Performance Car Due In 2021,"The Karma Revero GTE is built on the company’s new “skateboard” platform.
Two versions will initially be available, with a hyper-range version on the way.
Remember the Karma from a while back? It was called the Fisker Karma and Justin Bieber drove a chrome one around SoCal. The car looked nice, but it was not well-received and ended up earning a failing grade from Consumer Reports. Well, they nearly folded and Henrik Fisker eventually resigned after the company’s financial practices were called into question.
Today the new owners, Chinese auto parts supplier Wanxiang Group, seem poised to turn things around. Karma Automotive, now the name of the new company, have been announcing details about the Karma 2.0. It’s called the Karma Revero now instead of the Karma, with the GTE being the latest version. And if the tech preview we have so far holds, there could be another serious player in the EV market.
What Is the Karma Revero GTE?
Although it won’t be out until next year, the Karma Revero GTE will be the Southern California-based company’s latest all-electric vehicle. The Revero GTE joins the GTS, GT, and just plain Revero as the fourth model in Karma Automotive’s lineup. The Revero GTE will roll out as two versions, both of which come in 200-mile and 300-mile range configurations.
Later in 2021 there will be 400-mile, hyper-range version available.
Like I said, this will make the Karma Revero GTE a serious competitor to Polestar, Tesla, Porsche and the like, assuming the quality is there this time around. The Revero GTE, according to the company, offers levels of performance, technology, and luxury that place the car firmly in the high-end ranks. In other words, this is not a bare bones EV, and not the Karma from a few years ago.
“The Revero GTE is a testament to Karma’s future and a continuation of the success of our definitive luxury electric Revero GT,” said Vlad Kalika, Vice President of Powertrain at Karma Automotive. “The GTE adds diversity to our growing product range, and ushers in a new era of pure all-electric technology – something we are proud to offer both our customers and the mobility industry.”
Karma E-Flex Platform. Photo: Karma Automotive.
Platform & Performance
The Revero GTE is built on the Karma E-Flex Platform, which has the now rather familiar “skateboard” layout. In addition to accommodating the new GTE, the E-Flex Platform itself is marketed by Karma Automotive as one that provides new electric mobility solutions to partners across the industry. Which can also be read as, “Hey! Our E-Flex Platform can be used by any other car manufacturer. Hint! Hint!”
Performance-wise, the 2021 Revero GTE is said to go from zero to 60 in less than 3.9 seconds, which is okay, but not Porsche Taycan levels of stellar. The Revero GTE also features electronic torque vectoring for better handling. Other than that, Karma Automotive hasn’t revealed much else on the performance front but things do look promising.
Photo: Karma Automotive.
Karma Revero GTE Charging Capability
The forthcoming Revero GTE will be offered in two models initially, with the hyper-range version (400 miles) due a short time later. There’s the standard-range model that can go 200 miles on a full charge using a 75kWh Nickel Manganese Cobalt lithium-ion battery. The extended-range version can get 300 miles total range using its 100kWh NMC battery.
The DC 150kW Fast Charging system gets you an 80 percent charge in under 30 minutes, according to Karma Automotive. Household current levels of charging at 11kW will give the GTE a full charge overnight.
Manufacturing & Availability
The Revero GTE, like other Karma models, will be assembled at Karma’s Innovation and Customization Center in Moreno Valley, California. The car was developed, styled, and engineered at the company’s headquarters in Irvine.
Karma Automotive will have a pre-order system up and running in the coming months, with Revero GTEs showing up in dealerships by spring of 2021. Later in the fall of 2021, Karma Automotive plans to release the Revero GTE in China and Europe.
Tony Borroz has spent his entire life racing antique and sports cars. He is the author of Bricks & Bones: The Endearing Legacy and Nitty-Gritty Phenomenon of The Indy 500, available in paperback or Kindle format. Follow his work on Twitter: @TonyBorroz. 
Photos & Source: Karma Automotive.",https://www.automoblog.net/2020/04/19/karma-revero-gte/
2020/04/17,First GM-Ventec Ventilators Delivered to Chicago Hospitals,"CHICAGO – The first VOCSN V+Pro critical care ventilators produced by General Motors and Ventec Life Systems in Kokomo, Indiana are being delivered by UPS to Franciscan Health Olympia Fields in Olympia Fields, Illinois and Weiss Memorial Hospital in Chicago at the direction of the Federal Emergency Management Agency. The milestone shipments are putting important tools in the hands of frontline medical professionals treating patients seriously ill with COVID-19.
“The passion and commitment that people at GM, Ventec, and our suppliers have put into this work is inspiring,” said GM Chairman and CEO Mary Barra. “We are all humbled to support the heroic efforts of medical professionals in Chicagoland and across the world who are fighting to save lives and turn the tide of the pandemic.”
“Patients deserve access to the best technology to keep them in the fight as their bodies combat the virus,” added Ventec Life Systems CEO Chris Kiple. “Critical care ventilators deliver precise airflow to protect the lungs, include accurate monitors to assess patient well-being, and most importantly, they include advanced controls that help respiratory therapists and physicians wean patients off ventilators as fast as possible.”
Critical Shipments
Franciscan Health Olympia Fields received their shipment early Friday morning and Weiss Memorial will receive theirs Friday afternoon. A third shipment from GM-Kokomo will be delivered by UPS to FEMA at the Gary/Chicago International Airport on Saturday for distribution to other locations where the need is greatest.
“UPS always stands ready to meet the urgent needs of the American people, and we are proud to be selected to make this historic delivery,” explained UPS Chairman and CEO David Abney. “This monumental effort is a testament to the unbridled ingenuity and innovation of American companies. In the words of our founder, determined people working together can accomplish anything; and GM, Ventec and UPS have accomplished this together with the speed, quality and exacting precision that the world expects from America’s private sector.”
Related: Ford and others partner for COVID-19 mobile testing effort in Detroit.
Ongoing Effort
The deliveries are the culmination of a partnership between GM and Ventec Life Systems that began with a phone call exactly one month ago. Since then, the combined teams have sourced thousands of parts, transformed GM’s advanced electronics facility in Kokomo for medical device production, and contracted with the U.S. Department of Health and Human Services to provide 30,000 ventilators by the end of August.
More than 1,000 men and women from the Kokomo community will be building ventilators.
“For a community hospital that was already struggling with budgetary constraints prior to this crisis, these ventilators are a much-needed infusion of critical resources to care for our patients, which includes a significant elderly population,” said Mary Shehan, CEO of Weiss Memorial Hospital. “We are extremely grateful for the support and to all those who are rallying to ensure that our frontline caregivers have the necessary supplies to care for our patients. We need all the help we can get now to rise to this unprecedented challenge.”
“We have healthcare heroes who are on the front lines in this pandemic and we’re grateful to know there is support to attain more of the essential resources they need to care for the most critically ill patients,” added Allan M. Spooner, President and CEO of Franciscan Health Olympia Fields. “Every single one of these ventilators will make a difference in the lives of critical COVID-19 patients and our other patients with acute respiratory illness. We are grateful and inspired by the ingenuity and dedication of everyone behind this truly lifesaving gift.”
Photos & Source: General Motors.",https://www.automoblog.net/2020/04/17/gm-ventec-ventilators-chicago/
2020/04/15,Lotus Evija Configurator: How Would You Design Your Dream Evija?,"TYPE OF VEHICLE
Two-Seat, All-Electric Hypercar
HORSEPOWER
1,972
TORQUE
1,254 lb-ft.
WEIGHT
1,680 kg (3,703 lbs.)
PRICE
$1.9 Million
NUMBER THAT WILL BE MADE
130
The Lotus Evija is the automaker’s first electric vehicle, and like any Lotus, it’s pretty much a technical marvel. The Evija’s power output of 2,000 PS makes it the world’s – drum roll please – most powerful production road car! Although we think somebody (and there will be somebody!) will try and top that before long (Bugatti, Pininfarina, Ultima etc.), the Evija is the king of the mountain for now.
With the Lotus Evija, it’s customization that’s king. When you’re at this level, offering bespoke treatments is the icing on the cake. The Evija is one frosty cake for sure, and no two customers are cutting the same slice. Lotus says personalization requests are coming in for every aspect of the car.
“We know every customer journey will be unique and our highly experienced customer relations team is ready to support any requests,” explained Simon Clare, Executive Director, Global Marketing, Lotus.
What Is The Lotus Evija Configurator?
The touch-screen configurator uses gaming software and powerful graphics processors to create “photo-realistic” images and animations of the Evija. In so many words, customers can build their dream Evija from the ground up. However, Lotus uses an advanced imaging technique known as ray-tracing, which takes this far beyond any normal car configuration tool. Buyers can actually take their Evija and drop it into multiple environments around the world to see how sunlight in their area will affect the look of the car.
This is, admittedly, hard to do in Michigan where it rains in the morning, is bright and sunny in the afternoon, snows at night, with thunderstorms in the overnight just for good measure. But you get the idea.
“With state-of-the-art digital tools such as the new configurator, we can accommodate customer preferences and requirements from anywhere in the world at the touch of a button,” Clare said.
The Lotus Evija Configurator helps buyers design their dream Evija. Photo: Group Lotus.
Where Is This Cool Lotus Evija Configurator?
Unfortunately, it’s not something we can play with online. You only receive a configurator from Lotus if you reserved an Evija. Thus, you can’t waste time dinking around on the Lotus Evija Configurator when you should be working (but I totally would).
Related: The story behind the design of the Lotus Evija.
Regardless, the company released a series of photos showing how customers are configuring their cars. A gallery and a video are below. They reveal a car inside the Lotus Design studios in Hethel, UK. The ones in the gallery are finished in Atomic Red with a Carbon Black accent pack. The video shows this Evija, along with two others: one in Solaris Yellow and the other in Carbon Black.
Lotus Evija Availability
Production of the Lotus Evija will begin later this year, with the first allocation already designated to customers. Lotus is only building 130 examples, with a retail price right around two million. At the time of delivery, customers will receive a hand-crafted book with images of their individual car during key moments of its assembly.
Talk about something cool to put in your office!
Carl Anthony is Managing Editor of Automoblog and a member of the Midwest Automotive Media Association and the Society of Automotive Historians. He serves on the board of directors for the Ally Jolie Baldwin Foundation, is a past president of Detroit Working Writers, and a loyal Detroit Lions fan.
Lotus Evija Configurator Gallery
Photos & Source: Group Lotus.",https://www.automoblog.net/2020/04/15/lotus-evija-configurator/
2020/04/15,"Ford, Wayne State, ACCESS Launch Mobile COVID-19 Testing For Michigan First Responders","DEARBORN, Mich., April 15, 2020 – Ford Motor Company, Wayne State University, the Wayne State University Physician Group, and ACCESS are launching a new initiative to improve access to COVID-19 testing for symptomatic first responders, health care workers, and corrections officers in Michigan.
Ford is providing vehicles, drivers, and equipment to help create the first mobile testing service in Michigan.
The effort is an extension of drive-through testing sites that opened in Detroit and Dearborn on March 20 with financial backing from Wayne State University’s Office of the President. To date, 3,300 police officers, firefighters, and health care professionals have been tested at those sites by WSU and ACCESS health care professionals and volunteers.
Vehicles Equipped For COVID-19 Testing
Ford’s in-house incubator, Ford X, is providing Lincoln Navigators and drivers from the Lincoln Personal Driver pilot service, and is equipping them with tents, sanitation, power and Wi-Fi to support mobile testing. Each vehicle will be fully equipped for mobile COVID-19 testing with staff and medical kits provided by WSU and ACCESS.
“This support for those on the front lines of the pandemic is critical, and we felt we needed to respond urgently by testing first responders and health care workers with drive-through testing,” said WSU President M. Roy Wilson. “Now we can expand our efforts with ‘drive-to’ testing for those first responders across the region who lack access to testing.”
Each Navigator is fully-equipped for mobile COVID-19 testing and can accommodate as many as 100 people a day, with test results returned within 24 to 36 hours. The mobile testing program launched April 13.
“We are extremely grateful to Ford for helping us expand this initiative and bring mobile testing to these high-risk individuals, and to the United Way for its support of both our drive-through and drive-to initiatives,” Wilson continued.
“We believe this work with Wayne State and their coalition to improve access to testing for Michigan first responders is a meaningful opportunity to use our mobility knowledge and resources to help our community during this pandemic,” added Kristin Welch, Manager, Strategy & Operations, Ford X.
Photo: Ford Motor Company.
Where & How Testing Will Take Place In Michigan
Testing will begin in southeast Michigan, and is expected to encompass other regions of the state, including Battle Creek, Lansing, and Grand Rapids. Testing will take place as long as the virus continues to impact communities. Clinicians and professionals from WSU and ACCESS will provide free testing that does not require a prescription from a physician.
“As a community nonprofit with longtime partnerships with both Ford and Wayne State, we are pleased to expand this critical collaboration,” said Lina Hourani-Harajli, Chief Operating Officer of ACCESS. “When we look back at this defining moment in history, it is truly gratifying to see how many incredible institutions have stepped up to be a small part of helping our frontline heroes fight against this pandemic.”
“This work is in addition to that being done by our colleagues throughout the company to help produce and distribute critical medical equipment, including face masks and ventilators to support those that are caring for, and protecting others during these uncertain times,” Welch added.
Ford has already produced more than three million face shields in Plymouth, Michigan, while ventilator production is ongoing. Ford is also making face masks and leading an effort to scale production of reusable gowns with more the 5,000 already supplied to Beaumont Health in metro Detroit.
Who To Contact & Where To Donate
Agencies wanting to host a test site can call 313-269-1952.
Or by email: Mseredynski@accesscommunity.org.
In addition, Wayne State has established the Warrior Relief and Response campaign to provide support for critical programs and services. Gifts in support of COVID-19 mobile testing will help increase access to much needed screening and testing within the metro Detroit area.
More Information On The Coronavirus
From the Centers For Disease Control and Prevention: Steps to avoid infection.
From the World Health Organization: Understanding the Coronavirus.
From our home state of Michigan: Recommendations from the Michigan Department of Health and Human Services (PDF).
Photos & Source: Ford Motor Company, Wayne State University Physician Group, ACCESS.",https://www.automoblog.net/2020/04/15/ford-wayne-state-access-mobile-covid-19-testing/
2020/04/15,Lamborghini Supporting Siare In The Production of Breathing Simulators,"Sant’Agata Bolognese, 15 April 2020 – Automobili Lamborghini is providing resources and equipment from its Research and Development Department for the co-engineering and production of breathing simulators, supporting Siare Engineering International Group, Italy’s top manufacturer of ventilators, during the health emergency caused by the spread of COVID-19.
The breathing simulator enables the tester to carry out an initial evaluation of the ventilator’s performance before reaching the final checking stage, when the ventilator undergoes a comprehensive test using certified equipment.
Lamborghini has used its 3D printing laboratory to design, produce and validate the simulator, optimizing the components and enabling the production of 18 simulators per week, alongside the 3D-printed production of polycarbonate medical visors. Lamborghini is currently using an HP Jet Fusion 3D 4200 printer with MJF technology, capable of printing with a 0.08 mm precision level.
Recently, Lamborghini converted parts of their plant in Sant’Agata Bolognese for the production of surgical masks and protective plexiglass shields.
Photos & Source: Automobili Lamborghini. ",https://www.automoblog.net/2020/04/15/lamborghini-breathing-simulators/
2020/04/14,First GM-Ventec V+Pro Ventilators Ready for Delivery,"KOKOMO, Ind. – General Motors Co. (NYSE: GM) has begun mass production of the Ventec Life Systems V+Pro critical care ventilator under contract to the U.S. Department of Health and Human Services.
“Thousands of men and women at GM, Ventec, our suppliers and the Kokomo community have rallied to support their neighbors and the medical professionals on the front lines of this pandemic,” said GM Chairman and CEO Mary Barra. “Everyone wants to help turn the tide and save lives.”
Teamwork Amid The Pandemic
In less than a month, Ventec, GM’s supply chain and its manufacturing, logistics, legal, and talent acquisition teams were able to marshal support to deliver a 30,000-unit order from the U.S. Department of Health and Human Services.
“Until there is a vaccine, critical care ventilators give medical professionals the tools they need to fight this pandemic and save lives,” said Ventec Life Systems CEO Chris Kiple. “This partnership is an historic effort and a great reminder of what can be accomplished with the power of American innovation and American manufacturing skill uniting together around a singular mission to save lives.”
“It is inspiring and humbling to see the passion and commitment people have put into this work,” Barra added.
The effort involved sourcing hundreds of parts and assemblies from suppliers; the design of a new manufacturing process; the transformation of GM’s Kokomo factory; the ongoing hiring of more than 1,000 manufacturing team members; and the implementation of extensive health and safety protocols in the workplace.
Photo: General Motors.
Ongoing Support
Throughout the effort, GM had strong support from the leadership of the United Auto Workers, including the UAW-GM Department and UAW Local 292, community groups and elected officials in Kokomo, the U.S. Food and Drug Administration, the U.S. Department of Health and Human Services and the White House Office of Trade and Manufacturing Policy.
More than 600 ventilators will be shipped this month, almost half the order will be filled by the end of June and the full order will be completed by the end of August. GM has the capacity to build more ventilators after August if needed.
Timeline of Events
GM and Ventec executives had their first conference calls on Tuesday, March 17 and Wednesday, March 18 to explore how GM could help Ventec increase ventilator production.
The next day, a GM team flew to Seattle to meet with the Ventec team and rolled up their sleeves to help.
On Friday, March 20, GM engaged its global supply base and within 72 hours, they had developed plans to source 100 percent of the necessary parts.
The UAW’s national and local leadership embraced the project and on Wednesday, March 25, crews began preparing the Kokomo site for production.
On Wednesday, April 8, the U.S. Department of Health and Human Services awarded GM a contract under the Defense Production Act to build 30,000 Ventec V+Pro critical care ventilators.
GM and Ventec are providing progress updates, photos, and videos to document the work of this partnership at a new microsite.",https://www.automoblog.net/2020/04/14/gm-ventec-vpro-ventilators/
2020/04/09,GM Shares Face Mask Production Blueprint With Other Suppliers,"More information on the design of the face mask can be found through the Michigan Manufacturers Association. You can also request a free blue print of the face mask.
DETROIT – Based on the overwhelming number of requests for face masks for frontline workers, GM is increasing its production capacity for face masks at its Warren, Michigan facility. In addition, the company has shared its manufacturing plans with GM suppliers along with the Original Equipment Suppliers Association and the Michigan Manufacturers Association to help other manufacturers ramp up their own production efforts.
“Our ultimate goal is to get more masks to the people who desperately need them,” said Shilpan Amin, GM vice president of Global Purchasing and Supply Chain. “And we recognize it would be counterproductive for GM – or any other manufacturer – to compete for supplies with existing medical mask companies. By making GM’s production processes available to the OESA and the MMA, we hope to facilitate other companies’ efforts to bring more materials, more equipment and ultimately, more face masks to the community.”
“The Michigan Manufacturers Association has 1,700 companies across all industries, and many are looking for ways to help during this crisis,” said John Walsh, Michigan Manufacturers Association president and CEO. “GM’s production plans and their willingness to share design specifications will be extremely appreciated as our members accelerate their own efforts to help during this crisis. GM’s efforts are a strong symbol of how manufacturing is driving solutions to solve this crisis.”
“The 500+ members of OESA are honored to lend their manufacturing expertise in this initiative,” said Julie A. Fream, OESA president and CEO. “For automotive suppliers, this is an excellent opportunity to champion the efforts of our healthcare workers and provide much needed PPE to help fight the global coronavirus pandemic.”
Ongoing Initiative
In response to the COVID-19 pandemic, GM is currently producing face masks Warren and in China through a joint venture with SAIC-GM-Wuling. Studies are underway to launch similar initiatives in other countries.
The Warren facility can now produce up to 1.5 million face masks a month. Coordinating with the State of Michigan’s Michigan Community Service Commission, GM’s site in Warren has already delivered face masks to local hospitals. Over the weekend, the site will add two additional production lines: a second line for face masks and a new line for filtering facepiece respirators.
For U.S. production, the company partnered with existing automotive suppliers to provide the materials and equipment necessary for mask production.
JR Automation in Holland, Michigan and Esys Automation in Auburn Hills typically provide GM with automotive-manufacturing equipment. For GM’s face-mask production, the company built a mask line that automatically folds, welds, and cuts face masks.
GDC in Goshen, Indiana provides GM with sound-deadening insulation found in vehicle doors, headliners and trunks. To transition to making materials for GM’s face mask production, GDC enlisted the help of OXCO in Fort Mill, South Carolina. Both companies’ employees worked around the clock and over weekends to alter their production processes for the manufacturing of three layers of fabric used to manufacture masks.
Photos & Source: General Motors",https://www.automoblog.net/2020/04/09/gm-face-mask-blueprint/
2020/04/08,Polestar Precept: Science Fiction or Something More?,"Polestar is, essentially, what Volvos will become in the future. At the moment, Polestar is a brand unto themselves, but it is obvious this is where the Swedish auto manufacturer is heading. With the Polestar Precept, we are seeing the company’s future in three key areas: sustainability, digital technology, and design as it relates to the modern automobile.
What Is The Polestar Precept?
The name Precept tells you all you need to know. A precept is sign of things to come, a declaration, an assertion. Polestar says the name reflects the car’s role in defining their aim as a contemporary electric performance brand.
“People ask me all the time, ‘what is the future of Polestar,’ and of course we are not showing our future models just yet,” said Thomas Ingenlath, Polestar CEO. “But Precept shows you where we will be heading – our design direction, our ambitions about sustainability and the great digital user experience we will bring with those future cars.”
The Polestar Precept is meant to convey three key areas for the automaker: sustainability, digital technology, and design. Photo: Polestar.
Polestar Precept: Sustainable Materials
The interior uses a number of sustainable materials to create what will become Polestar’s luxury design language. Polestar describes the interior as “vegan” with high levels of recycled content, which the company started doing already with the Polestar 2. The Precept goes further, however, integrating a flax-based natural composite to replace plastic content by 80 percent. According to Polestar, this also cuts interior weight by half.
The materials use a proprietary technology from supplier Bcomp called powerRibs, which are inspired by leaf veins. Bcomp also supplies ampliTex composite materials to reduce vibrations for occupants. The seat covers and headliner are 3D-knitted from recycled water bottles in a single thread, made exactly to size with no waste or off-cuts, which is very cool.
The carpets are woven from Nylon 6 ECONYL, recovered from reclaimed fishing nets. Waste and recycled cork from the wine industry is also converted into cork-based vinyl for seat bolsters and head rests.
Batteries for the EV powertrain are beneath the floor as to not intrude on passenger space. Photo: Polestar.
Digital Technology & Connectivity
The Precept builds upon the Android-powered infotainment system in the Polestar 2. There’s a 15-inch digital interface that recognizes you as you walk up, and adjusts the settings and personal content accordingly (authenticated via Polestar Digital Key). Google Assistant is offered in multiple languages and video streaming services are available when you’re parked or charging. The touchscreen uses proximity sensors depending on where your hand is placed, and adjusts brightness and content according to what you are doing.
There is also a nine-inch horizontal driver display with “eye-tracking” technology. These eye-tracking monitors follow where you are looking, adjusting the way information is presented: from smaller and more detailed when you are focused on the display, to larger and brighter, when looking at the road.
Photo: Polestar.
Polestar Precept: Styling & Design
Polestar wants the Precept’s design to create a new aesthetic for the oncoming “electric age.” Or rather, the Polestar Precept is very Scandinavian, very clean, and very forward-looking in its design. And much of the design is focused on aerodynamic performance.
A good example is the front fender, now integrated into the hood to improve air flow over the body. There are air ducts behind the front wheels for better ventilation, while additional ducts at the rear help cool the brakes. There are also aerodynamic inserts for the 22-inch wheels.
In lieu of a traditional front grille, the Precept uses something dubbed as SmartZone, which hints at the car’s autonomous – or at least semi autonomous – capabilities. Polestar’s Pilot Assist system includes long- and mid-range radar units, ultrasonic sensors, and a high-definition wide-angle camera. There is a roof-mounted LIDAR pod and additional sensors on both sides of the car for other driving assistance features.
“Precept showcases our future, not as a fancy dream or something out of a sci-fi movie,” Ingenlath said. “This is our reality to come.”
Pay attention to what you see here in the Polestar Precept. We will see more cars like it coming down the road in the future.
Tony Borroz has spent his entire life racing antique and sports cars. He is the author of Bricks & Bones: The Endearing Legacy and Nitty-Gritty Phenomenon of The Indy 500, available in paperback or Kindle format. Follow his work on Twitter: @TonyBorroz. 
Polestar Precept Gallery
Photos & Source: Polestar.",https://www.automoblog.net/2020/04/08/polestar-precept/
2020/04/07,Prototype On The Bench: This Ventilator is Powered by Tesla Parts,,https://www.automoblog.net/2020/04/07/tesla-ventilator/
2020/04/07,Nissan Ariya Concept Ditches Tablet Display for Something More Intuitive,"Touchscreens and tablet-sized displays are everywhere in the car world these days, from the highest-tech Teslas to entry-level autos manufactured in emerging world markets. It makes sense, since everyone seems to be carrying a screen or two or three around with them. But what if a car maker went a different way? Is that possible?
Say hello to the Nissan Ariya Concept, the EV crossover that aims to think differently about how drivers get their information.
What Is The Nissan Ariya Concept?
Nissan unveiled the all-wheel drive electric crossover in October at the Tokyo Motor Show. In a lot of ways, you wouldn’t give the Nissan Ariya a second glance. It looks like the Kicks, Nissan’s small SUV, from a few years in the future. Besides that, everything else is pretty futuristic, as you would expect for a concept car. It has an electric drivetrain, a sleek interior design, super fancy wheels, and semi-autonomous capabiliteis, but it’s the dashboard Nissan is particularly proud of.
With the Ariya Concept, Nissan doesn’t follow the current trend of nailing a huge plasma screen TV to your dash. Instead, the Ariya Concept has a curved, two-screen display Nissan says is “reminiscent of a wave.” They also say the design gives the interior a sense of “horizon,” from elements in the door all the way to the rear of the cabin.
And that last part seems logical, when you think about it.
Nissan Ariya Concept interior layout. Photo: Nissan North America.
The Horizontal View
Your eyes are side by side, not one on top of the other. We see from side to side, which is why computer screens, movie theaters, and TVs are formatted horizontally. And this is why no one should shoot iPhone videos vertically! So Nissan figures not only matching the cabin’s “horizon aesthetic” is a good thing, but going horizontal also conveys information better for the human eye.
The display keeps the important info on the instrument cluster right over the steering wheel, which is traditional, and also smart from an ergonomics standpoint. Entertainment functions, comfort controls, and system status updates are located in the center screen. Both displays are wrapped in one sleek panel that flows seamlessly between driver and passenger. It looks good (as concept cars do) but it’s functional (as concept cars seemingly never are).
Photo: Nissan North America.
Configurable & Flexible Display
The user experience is configurable at a very granular level. Drivers can adjust how much data is shown on each part of the screen, from navigation to music, while removing unnecessary information from their periphery. Information can move or be swiped between the two screens to create the feeling of a single, integrated display, Nissan says.
If you want your route directions and the map in front of the steering wheel, there they are. If you want to move them to the center, say if your co-pilot is doing the navigating, you can. Or they can disappear entirely when no longer needed. It’s up to you as the driver.
Photo: Nissan North America.
A Work In Progress
The display in the Nissan Ariya Concept looks sleek, seamless and natural, but it didn’t start that way. Nissan’s first iteration of the display was a large black “box” they named “the Monolith,” a nod to 2001: A Space Odyssey. They chipped away, figuratively speaking, at the housing until it became what’s seen here in the final concept car.
By the time the Ariya makes it to production, the display screens should be easy and artful enough to use, even your average caveman could do it.
Tony Borroz has spent his entire life racing antique and sports cars. He is the author of Bricks & Bones: The Endearing Legacy and Nitty-Gritty Phenomenon of The Indy 500, available in paperback or Kindle format. Follow his work on Twitter: @TonyBorroz. 
Nissan Ariya Concept Gallery
Photos & Source: Nissan North America.",https://www.automoblog.net/2020/04/07/nissan-ariya-concept/
